staff_id,department_id,first_name,last_name,position,hire_date,salary_annual,email
STF166,DEP048,Aruzhan,Johnson,Senior Curator,2007-08-22,73017.22,aruzhan.johnson.3945@museum.org
STF167,DEP048,Elijah,Nelson,Curator,1992-04-08,51728.85,elijah.nelson.9790@museum.org
STF168,DEP049,Timur,Scott,Head of Department,1990-05-14,105481.37,timur.scott.7061@museum.org
STF169,DEP049,Harper,Lopez,Deputy Director,2006-05-29,97566.39,harper.lopez.5996@museum.org
STF170,DEP049,Ava,Perez,Curator,2015-08-01,78372.6,ava.perez.5940@museum.org
STF171,DEP049,Dmitry,Scott,Senior Curator,2007-05-01,72904.28,dmitry.scott.9009@museum.org
STF172,DEP050,Lucas,White,Head of Department,1994-05-04,62420.85,lucas.white.5556@museum.org
STF173,DEP050,Dmitry,Carter,Assistant Curator,1998-12-06,82233.98,dmitry.carter.6577@museum.org
STF174,DEP051,Alina,Brown,Head of Department,1991-09-30,38018.46,alina.brown.5457@museum.org
STF175,DEP051,Timur,Ivanov,Security Officer,1996-09-06,82594.75,timur.ivanov.8447@museum.org
STF176,DEP051,Harper,Baker,Archivist,2004-04-15,40437.69,harper.baker.4903@museum.org
STF177,DEP051,Maria,Adams,Tour Guide,2012-11-12,75572.28,maria.adams.9223@museum.org
STF178,DEP051,Alexander,Akhanov,Curator,2006-07-11,56467.76,alexander.akhanov.1796@museum.org
STF179,DEP051,Arman,Green,Deputy Director,2020-11-11,84779.75,arman.green.9780@museum.org
STF180,DEP051,Timur,Lopez,Director,2015-12-13,79875.27,timur.lopez.842@museum.org
STF181,DEP052,Maria,Akhanov,Assistant Curator,2013-07-08,84757.4,maria.akhanov.6230@museum.org
STF182,DEP052,Evelyn,Wright,Curator,2015-09-07,115079.49,evelyn.wright.1801@museum.org
STF183,DEP052,Oliver,Johnson,Security Officer,2004-01-27,64784.13,oliver.johnson.6766@museum.org
STF184,DEP052,Elijah,Roberts,Head of Department,2017-06-06,112449.49,elijah.roberts.1021@museum.org
STF185,DEP052,Harper,Ivanov,Registrar,2015-02-28,55879.71,harper.ivanov.7838@museum.org
STF186,DEP053,Nursultan,Mitchell,Exhibition Designer,1997-10-08,68668.04,nursultan.mitchell.8735@museum.org
STF187,DEP053,Daniel,Petrova,Head of Department,2020-04-26,98339.03,daniel.petrova.4332@museum.org
STF188,DEP053,Oleg,Akhanov,Registrar,2001-01-21,51505.61,oleg.akhanov.4891@museum.org
STF189,DEP053,William,Green,Conservator,2021-08-15,44691.39,william.green.8012@museum.org
STF190,DEP053,David,Akhanov,Exhibition Designer,2015-02-22,113701.54,david.akhanov.4481@museum.org
STF191,DEP053,Henry,White,Archivist,2020-05-08,76603.13,henry.white.6465@museum.org
STF192,DEP053,Emily,Martin,Conservator,1991-11-21,52324.88,emily.martin.1295@museum.org
STF193,DEP054,Emily,Suleimenova,Head of Department,2001-07-03,95997.16,emily.suleimenova.3506@museum.org
STF194,DEP054,Oliver,Petrova,Conservator,2015-03-19,91136.27,oliver.petrova.2250@museum.org
STF195,DEP054,Charlotte,Wright,Registrar,1992-04-11,88634.23,charlotte.wright.8701@museum.org
STF196,DEP054,William,King,Curator,1994-06-30,64263.63,william.king.7740@museum.org
STF197,DEP054,Charlotte,Harris,Curator,2014-09-08,117901.52,charlotte.harris.2588@museum.org
STF198,DEP054,Arman,Akhanov,Security Officer,2019-03-08,43948.32,arman.akhanov.4707@museum.org
STF199,DEP055,David,Scott,Director,1992-08-27,111254.01,david.scott.1466@museum.org
STF200,DEP055,Anna,King,Tour Guide,2023-02-19,93696.18,anna.king.612@museum.org
STF201,DEP055,Noah,Roberts,Assistant Curator,1991-08-19,119731.32,noah.roberts.6505@museum.org
STF202,DEP055,Aruzhan,Walker,Head of Department,2002-12-26,108290.6,aruzhan.walker.152@museum.org
STF203,DEP056,Alexander,Nazarov,Archivist,1994-10-25,113203.21,alexander.nazarov.5490@museum.org
STF204,DEP056,Henry,Nurlybay,Director,2014-05-16,74810.26,henry.nurlybay.2199@museum.org
STF205,DEP056,Alina,Nurlybay,Head of Department,1998-08-26,101837.32,alina.nurlybay.5418@museum.org
STF206,DEP056,Liam,Nurlybay,Director,2001-07-17,93266.83,liam.nurlybay.231@museum.org
STF207,DEP056,Daniel,Scott,Archivist,2020-04-02,96941.86,daniel.scott.2876@museum.org
STF208,DEP056,Oleg,Perez,Education Specialist,2013-02-11,56153.03,oleg.perez.6568@museum.org
STF209,DEP057,Charlotte,Walker,Head of Department,2011-06-02,55742.16,charlotte.walker.4065@museum.org
STF210,DEP057,Emma,Lopez,Education Specialist,2000-07-25,67439.87,emma.lopez.4375@museum.org
STF211,DEP058,Daniel,Green,Archivist,2022-06-05,79423.35,daniel.green.4286@museum.org
STF212,DEP058,Grace,Wright,Head of Department,2019-12-16,36231.36,grace.wright.5027@museum.org
STF213,DEP059,Liam,Perez,Head of Department,2012-07-17,112695.07,liam.perez.5096@museum.org
STF214,DEP060,Amelia,Scott,Exhibition Designer,2017-07-28,45980.68,amelia.scott.2189@museum.org
STF215,DEP060,Timur,Martin,Security Officer,2023-07-17,118939.61,timur.martin.6122@museum.org
STF216,DEP060,Arman,Sidorov,Head of Department,2023-12-22,76064.18,arman.sidorov.3579@museum.org
STF217,DEP061,James,Thomas,Tour Guide,2010-01-15,75176.45,james.thomas.5928@museum.org
STF218,DEP061,Sophia,Nazarov,Head of Department,1992-10-08,103733.54,sophia.nazarov.8282@museum.org
STF219,DEP061,Oliver,Nazarov,Tour Guide,1996-09-21,40631.03,oliver.nazarov.8526@museum.org
STF220,DEP062,Dana,White,Director,1999-03-20,93107.21,dana.white.8009@museum.org
STF221,DEP062,Mia,Kim,Head of Department,1992-06-30,68076.07,mia.kim.8410@museum.org
STF222,DEP062,Arman,Nurlybay,Archivist,1992-08-03,78085.73,arman.nurlybay.5050@museum.org
STF223,DEP063,Olivia,Perez,Head of Department,1990-02-19,95851.43,olivia.perez.9476@museum.org
STF224,DEP063,Sophia,Brown,Education Specialist,2005-06-15,91536.56,sophia.brown.8867@museum.org
STF225,DEP063,Isabella,Anderson,Security Officer,1991-06-04,52273.62,isabella.anderson.2949@museum.org
STF226,DEP063,Harper,Roberts,Exhibition Designer,2007-02-27,67611.03,harper.roberts.6185@museum.org
STF227,DEP063,Sofia,Thomas,Director,2019-09-08,108082.6,sofia.thomas.2179@museum.org
STF228,DEP064,Emily,White,Assistant Curator,2014-02-06,62340.57,emily.white.2087@museum.org
STF229,DEP064,William,Smith,Curator,2003-05-21,68985.37,william.smith.8921@museum.org
STF230,DEP064,Aigerim,Petrova,Head of Department,2000-04-20,48513.64,aigerim.petrova.5672@museum.org
STF231,DEP065,Evelyn,Hill,Registrar,2022-07-10,97721.54,evelyn.hill.528@museum.org
STF232,DEP065,Arman,Johnson,Head of Department,1999-03-31,31392.64,arman.johnson.9732@museum.org
STF233,DEP065,Ava,Suleimenova,Archivist,2020-02-23,91812.2,ava.suleimenova.798@museum.org
STF234,DEP066,James,Brown,Education Specialist,2009-09-09,47262.23,james.brown.3560@museum.org
STF235,DEP066,Isabella,Harris,Head of Department,2002-12-23,47245.34,isabella.harris.9439@museum.org
STF236,DEP066,David,Nazarov,Archivist,2020-03-02,102746.34,david.nazarov.3882@museum.org
STF237,DEP066,Alexander,Martin,Director,2013-05-20,45999.06,alexander.martin.4924@museum.org
STF238,DEP067,Lucas,Taylor,Head of Department,2016-07-16,108572.82,lucas.taylor.2870@museum.org
STF239,DEP067,Aigerim,Sidorov,Security Officer,1992-02-08,117367.57,aigerim.sidorov.6245@museum.org
STF240,DEP068,Nursultan,Baker,Deputy Director,2008-09-04,63784.62,nursultan.baker.4914@museum.org
STF241,DEP068,Sofia,Walker,Tour Guide,2011-03-30,47891.98,sofia.walker.3693@museum.org
STF242,DEP068,Alexander,Martin,Security Officer,1992-08-02,78426.67,alexander.martin.6825@museum.org
STF243,DEP068,Dmitry,Ivanov,Assistant Curator,2007-06-04,48071.56,dmitry.ivanov.3332@museum.org
STF244,DEP068,Daniel,Thomas,Head of Department,2006-08-24,33784.08,daniel.thomas.3121@museum.org
STF245,DEP069,Isabella,Hill,Head of Department,2020-03-21,82472.1,isabella.hill.648@museum.org
STF246,DEP069,Sophia,Young,Archivist,2022-06-29,88787.8,sophia.young.3556@museum.org
STF247,DEP070,Timur,Allen,Head of Department,2003-08-08,115916.88,timur.allen.252@museum.org
STF248,DEP070,Elijah,Young,Deputy Director,1995-04-07,95953.53,elijah.young.7847@museum.org
STF249,DEP070,James,Allen,Education Specialist,2000-09-26,77447.53,james.allen.4638@museum.org
STF250,DEP070,Sofia,Nurlybay,Tour Guide,2019-02-06,59129.66,sofia.nurlybay.4286@museum.org
STF251,DEP070,Grace,Kim,Security Officer,2010-11-27,34367.78,grace.kim.7693@museum.org
STF252,DEP070,David,Allen,Exhibition Designer,2004-01-14,64323.37,david.allen.9217@museum.org
STF253,DEP070,William,Martin,Curator,2001-09-12,77564.6,william.martin.9569@museum.org
STF254,DEP070,Maria,Roberts,Conservator,1996-11-02,43638.22,maria.roberts.3769@museum.org
STF255,DEP071,Sofia,Nazarov,Head of Department,2012-05-25,77311.04,sofia.nazarov.5531@museum.org
STF256,DEP071,Benjamin,Tlegenova,Deputy Director,2018-10-14,95261.44,benjamin.tlegenova.7551@museum.org
STF257,DEP071,Liam,Nelson,Assistant Curator,1996-04-12,93429.79,liam.nelson.8001@museum.org
STF258,DEP071,Noah,Petrova,Director,1992-08-20,74774.72,noah.petrova.1218@museum.org
STF259,DEP071,Isabella,Smith,Education Specialist,1996-03-02,105041.75,isabella.smith.3792@museum.org
STF260,DEP072,Sophia,Martin,Curator,1999-10-24,73044.63,sophia.martin.6115@museum.org
STF261,DEP072,Isabella,Akhanov,Head of Department,2011-11-20,26494.52,isabella.akhanov.8720@museum.org
STF262,DEP073,Dmitry,Roberts,Head of Department,1990-10-02,75294.68,dmitry.roberts.4502@museum.org
STF263,DEP074,Ayan,Scott,Head of Department,2012-07-12,102249.94,ayan.scott.7055@museum.org
STF264,DEP074,Noah,Jackson,Senior Curator,2013-07-10,39145.26,noah.jackson.3145@museum.org
STF265,DEP074,Oleg,Ivanov,Conservator,2005-11-25,50395.85,oleg.ivanov.6503@museum.org
STF266,DEP074,Mia,Carter,Education Specialist,2010-08-04,78675.21,mia.carter.3701@museum.org
STF267,DEP074,Alexander,Thomas,Director,2019-02-25,97160.66,alexander.thomas.1532@museum.org
STF268,DEP075,Chloe,Mitchell,Education Specialist,2014-10-17,70220.48,chloe.mitchell.155@museum.org
STF269,DEP075,Liam,Thomas,Security Officer,2009-06-19,86266.19,liam.thomas.5428@museum.org
